I,II,III,IV,V,VI,VII
240.91614749200755,255.85275666686596,289.33936244125226,321.4365667615013,392.2046259764663,403.7400561522447,603.9039384261546
574.3936384464481,382.490322967462,456.88228127743605,269.3041507615978,185.45193034924085,144.416197243628,70.09330265004627
67.74805134412856,235.23068031319033,197.25692999373,233.61169849491068,278.85420628357565,310.9304048535989,393.6522801055687
443.06427426248166,441.79910354576083,424.1512249062568,312.53821292310073,218.94406166311975,222.50622603142997,154.26892366490355
114.35391727673357,96.41670172074589,117.41798676161557,159.02345777650325,200.3397191129094,242.21140066564186,216.02638437746435
268.2473806122321,333.9614700862337,458.9332558853877,434.0152068808209,329.78291939402857,247.13188546900562,195.12959301960103
119.16788318762086,105.30004849233859,83.48378812582823,65.2573112761496,98.9361330690721,149.038569328596,177.45267672591177
301.9467434260404,324.4132006461321,337.6093802610419,363.79925744038314,332.35370015510256,359.5899694281818,215.0315522021665
213.03303026561449,133.50013836703857,119.71898269924489,98.19397483608113,27.605276500601473,45.97276561252329,81.19157262042286
91.51778441018138,102.37243920153216,147.83919167476913,147.68213756285635,144.17214280911406,323.55775316701806,341.3646489549742
282.66400441236266,318.41141398046256,223.4836154153776,214.08474256583972,139.54361049804348,47.33480566056941,54.147774007748666
37.33637011306967,65.23373122321163,74.5527857359486,60.52218810959731,77.07996621645,86.51572631833814,106.26854792595375
140.72954659078306,155.25124667977502,198.18896509195875,194.26394373014256,188.50428605546585,95.84293443170303,24.643128750306364
31.413851434843533,34.5619082714653,34.947924862205795,29.580894109839733,29.509128360080226,32.9360342978389,41.22679229656444
62.079474940663225,50.87952079422527,59.18869536176462,64.45106352566647,72.96928237052266,73.46383119884578,75.19604852666697
